timestamp,reaction_time,stimulus_type,stimulus_color
2025-01-14 01:51:48.323348,811.9046688079834,square,green
2025-01-14 01:51:54.291711,0.0,cross,green
2025-01-14 01:51:56.789044,309.80443954467773,cross,yellow
2025-01-14 01:51:59.144054,99.40338134765625,cross,blue
2025-01-14 01:52:01.621349,395.6642150878906,circle,yellow
2025-01-14 01:52:04.578345,166.2893295288086,circle,blue
2025-01-14 01:52:07.788954,898.9098072052002,cross,green
2025-01-14 01:52:10.388108,398.9999294281006,square,red
2025-01-14 01:52:12.989081,363.2972240447998,square,yellow
2025-01-14 01:52:15.500590,377.3612976074219,cross,green
2025-01-14 01:52:17.887848,308.6812496185303,circle,blue
2025-01-14 01:52:24.865745,432.64031410217285,cross,red
2025-01-14 01:52:27.387238,164.81709480285645,square,red
2025-01-14 01:52:30.066414,110.80002784729004,circle,blue
2025-01-14 01:52:32.854489,355.6983470916748,cross,green
2025-01-14 01:52:35.098712,140.18559455871582,square,yellow
2025-01-14 01:52:37.921275,432.4193000793457,circle,yellow
2025-01-14 01:52:40.699620,255.41257858276367,cross,red
2025-01-14 01:52:43.698604,436.8016719818115,cross,green
2025-01-14 01:52:46.465868,221.45605087280273,circle,yellow
2025-01-14 01:53:04.899584,0.0,square,yellow
2025-01-14 01:53:07.609673,478.18684577941895,cross,yellow
2025-01-14 16:06:37.301203,246.99783325195312,cross,blue
2025-01-14 16:06:39.600878,0.0,square,yellow
2025-01-14 16:06:42.068360,0.0,square,yellow
2025-01-14 16:06:46.489814,0.0,square,blue
2025-01-14 16:06:48.711825,0.0,cross,blue
2025-01-14 16:06:50.938308,100.72445869445801,cross,yellow
2025-01-14 16:06:53.621642,49.829959869384766,circle,yellow
2025-01-14 16:06:56.916750,513.4134292602539,circle,blue
2025-01-14 16:06:59.499375,501.9347667694092,cross,red
2025-01-14 16:07:02.100500,101.165771484375,square,yellow
2025-01-14 16:07:05.023863,250.3185272216797,square,blue
2025-01-14 16:07:07.610551,47.498226165771484,cross,red
2025-01-14 16:07:10.498584,608.4260940551758,circle,red
2025-01-14 16:07:13.379564,455.5044174194336,square,yellow
2025-01-14 16:07:16.221565,452.05163955688477,circle,yellow
2025-01-14 16:07:19.435595,565.8996105194092,circle,green
2025-01-14 16:07:22.735833,961.2553119659424,circle,yellow
2025-01-14 16:07:25.674810,609.2720031738281,square,green
2025-01-14 16:07:28.708251,763.1030082702637,cross,yellow
2025-01-14 16:07:36.606900,914.9250984191895,cross,red
2025-01-14 16:07:39.599469,550.3349304199219,circle,blue
